Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
8,VACV_CHX,9,1.34116,0.00474768,,,,0.00474768,1.871830133
8,VACV_CHX,10,1.34057,0.00405162,,,,0.00405162,1.597400078
0,CHX,1,1.3389,0.00231252,,,,0.00231252,0.8787869691
0,CHX,2,1.33965,0.00333548,,,,0.00333548,1.267524761
0,CHX,3,1.3393,0.00212558,,,,0.00212558,0.8077473949
0,CHX,4,1.33874,0.00196815,,,,0.00196815,0.7479219956
0,CHX,5,1.33912,0.00232619,,,,0.00232619,0.8839817427
0,CHX,6,1.33951,0.00303065,,,,0.00303065,1.151685489
0,CHX,7,1.33891,0.00261526,,,,0.00261526,0.9938320139
0,CHX,8,1.33881,0.0023995,,,,0.0023995,0.9118214731
0,CHX,9,1.33972,0.00326354,,,,0.00326354,1.240186647
0,CHX,10,1.33887,0.00293809,,,,0.00293809,1.116511514
2,CHX,1,1.33879,0.0025667,,,,0.0025667,0.9753785972
2,CHX,2,1.33875,0.0025959,,,,0.0025959,0.986474968
2,CHX,3,1.33907,0.00257004,,,,0.00257004,0.9766478396
2,CHX,4,1.33928,0.0028149,,,,0.0028149,1.069697749
2,CHX,5,1.33884,0.00235635,,,,0.00235635,0.8954429257
2,CHX,6,1.33933,0.00255019,,,,0.00255019,0.9691045875
2,CHX,7,1.33919,0.00270205,,,,0.00270205,1.026813316
2,CHX,8,1.33923,0.00276417,,,,0.00276417,1.050419705
2,CHX,9,1.33875,0.0022258,,,,0.0022258,0.8458322677
2,CHX,10,1.33874,0.00253607,,,,0.00253607,0.9637388082
4,CHX,1,1.33876,0.00271792,,,,0.00271792,1.032844118
4,CHX,2,1.33879,0.00230061,,,,0.00230061,0.8742610178
4,CHX,3,1.33923,0.00309509,,,,0.00309509,1.176173508
4,CHX,4,1.33897,0.00258364,,,,0.00258364,0.9818160123
4,CHX,5,1.33869,0.00256952,,,,0.00256952,0.976450233
4,CHX,6,1.33898,0.00279173,,,,0.00279173,1.060892855
4,CHX,7,1.33895,0.00297235,,,,0.00297235,1.129530749
4,CHX,8,1.33895,0.00275362,,,,0.00275362,1.046410571
4,CHX,9,1.33873,0.00286291,,,,0.00286291,1.087942159
4,CHX,10,1.33866,0.00290198,,,,0.00290198,1.102789255
6,CHX,1,1.33879,0.00292256,,,,0.00292256,1.110609917
6,CHX,2,1.33891,0.00337334,,,,0.00337334,1.281912042
6,CHX,3,1.33894,0.003346397,,,,0.003346397,1.271673359
6,CHX,4,1.33902,0.00350158,,,,0.00350158,1.33064487
6,CHX,5,1.33877,0.00307972,,,,0.00307972,1.170332713
6,CHX,6,1.33899,0.00385518,,,,0.00385518,1.465017361
6,CHX,7,1.3392,0.00414522,,,,0.00414522,1.575236244
6,CHX,8,1.33935,0.0045993,,,,0.0045993,1.747792411
6,CHX,9,1.33908,0.0045685,,,,0.0045685,1.73608802
6,CHX,10,1.3479,0.00678508,,,,0.00678508,2.578416571
8,CHX,1,1.34002,0.00530903,,,,0.00530903,2.017498825
8,CHX,2,1.34045,0.00608827,,,,0.00608827,2.313619921
8,CHX,3,1.34052,0.00529915,,,,0.00529915,2.013744299
8,CHX,4,1.34045,0.00532343,,,,0.00532343,2.022971008
8,CHX,5,1.33999,0.00488984,,,,0.00488984,1.858201301
8,CHX,6,1.34051,0.00499495,,,,0.00499495,1.898144436
8,CHX,7,1.34,0.00450471,,,,0.00450471,1.71184701
8,CHX,8,1.34108,0.00694125,,,,0.00694125,2.637763154
8,CHX,9,1.34023,0.00562938,,,,0.00562938,2.139235893
8,CHX,10,1.34051,0.00519844,,,,0.00519844,1.97547322
0,HSV,1,1.34075,0.00284971,,,,0.00284971,0.8273062056
0,HSV,2,1.34081,0.00305564,,,,0.00305564,0.8870902422
0,HSV,3,1.34006,0.00272363,,,,0.00272363,0.7907036157
0,HSV,4,1.33912,0.0038394,,,,0.0038394,1.114625504
0,HSV,5,1.33896,0.00236689,,,,0.00236689,0.6871375631
0,HSV,6,1.3412,0.00530217,,,,0.00530217,1.539285802
0,HSV,7,1.33907,0.00367507,,,,0.00367507,1.066918464
0,HSV,8,1.33895,0.00345378,,,,0.00345378,1.002675229
0,HSV,9,1.33915,0.0035727,,,,0.0035727,1.037199182
0,HSV,10,1.33927,0.00360666,,,,0.00360666,1.047058192
2,HSV,1,1.33941,0.00209063,,,,0.00209063,0.606935854
2,HSV,2,1.33932,0.00210732,,,,0.00210732,0.6117811683
2,HSV,3,1.33918,0.00201553,,,,0.00201553,0.5851333913
2,HSV,4,1.33906,0.0024766,,,,0.0024766,0.7189877387
2,HSV,5,1.33909,0.00214305,,,,0.00214305,0.6221540311
2,HSV,6,1.3391,0.00315042,,,,0.00315042,0.9146060533
2,HSV,7,1.33913,0.00346727,,,,0.00346727,1.006591543
2,HSV,8,1.33914,0.00325827,,,,0.00325827,0.9459162478
2,HSV,9,1.33922,0.00375386,,,,0.00375386,1.08979218
2,HSV,10,1.339,0.00379638,,,,0.00379638,1.102136264
4,HSV,1,1.33903,0.00294386,,,,0.00294386,0.8546391199
4,HSV,2,1.33911,0.00274035,,,,0.00274035,0.7955576394
4,HSV,3,1.33912,0.00231344,,,,0.00231344,0.6716203643
4,HSV,4,1.33906,0.00214642,,,,0.00214642,0.6231323839
4,HSV,5,1.3392,0.00267671,,,,0.00267671,0.777082157
4,HSV,6,1.33807,0.00590214,,,,0.00590214,1.713464545
4,HSV,7,1.34057,0.0068735,,,,0.0068735,1.995462417
4,HSV,8,1.34057,0.00666684,,,,0.00666684,1.935466452
4,HSV,9,1.34052,0.00755843,,,,0.00755843,2.194306103
4,HSV,10,1.34168,0.0070483,,,,0.0070483,2.046209028
6,HSV,1,1.34119,0.00404055,,,,0.00404055,1.173021847
6,HSV,2,1.34001,0.00314723,,,,0.00314723,0.9136799567
6,HSV,3,1.33915,0.00229284,,,,0.00229284,0.6656399284
6,HSV,4,1.34027,0.0034369,,,,0.0034369,0.9977747553
6,HSV,5,1.33976,0.00283822,,,,0.00283822,0.8239705159
6,HSV,6,1.34037,0.00412353,,,,0.00412353,1.197111972
6,HSV,7,1.3394,0.00282986,,,,0.00282986,0.821543504
6,HSV,8,1.33948,0.00276745,,,,0.00276745,0.8034251059
6,HSV,9,1.33959,0.00298867,,,,0.00298867,0.8676480194
6,HSV,10,1.34015,0.00293002,,,,0.00293002,0.850621196
8,HSV,1,1.34034,0.00305967,,,,0.00305967,0.8882602012
8,HSV,2,1.34119,0.00356955,,,,0.00356955,1.036284698
8,HSV,3,1.34054,0.0032056,,,,0.0032056,0.9306254926
8,HSV,4,1.33998,0.00324006,,,,0.00324006,0.9406296586
8,HSV,5,1.34028,0.00307098,,,,0.00307098,0.8915436347
8,HSV,6,1.34008,0.00298746,,,,0.00298746,0.8672967414
8,HSV,7,1.34004,0.00296913,,,,0.00296913,0.8619753147
8,HSV,8,1.34,0.00342968,,,,0.00342968,0.9956786996
8,HSV,9,1.34043,0.00329567,,,,0.00329567,0.9567739323
8,HSV,10,1.33981,0.0028297,,,,0.0028297,0.8214970541
0,RV,1,1.34093,0.00282288,,,,0.00282288,0.9641059339
0,RV,2,1.34047,0.00285705,,,,0.00285705,0.9757761075
0,RV,3,1.33998,0.00314882,,,,0.00314882,1.075425114
0,RV,4,1.34009,0.00262105,,,,0.00262105,0.8951743815
0,RV,5,1.34083,0.00299072,,,,0.00299072,1.021428789
0,RV,6,1.34077,0.00320828,,,,0.00320828,1.095732651
0,RV,7,1.34094,0.00297579,,,,0.00297579,1.016329705
0,RV,8,1.34015,0.00272415,,,,0.00272415,0.9303864067
0,RV,9,1.33968,0.00281497,,,,0.00281497,0.9614044099
0,RV,10,1.34045,0.00311606,,,,0.00311606,1.064236502
2,RV,1,1.34013,0.00348431,,,,0.00348431,1.190005932
2,RV,2,1.34106,0.00421623,,,,0.00421623,1.439980574
2,RV,3,1.3405,0.00392917,,,,0.00392917,1.341940186
2,RV,4,1.34102,0.00423799,,,,0.00423799,1.447412326
2,RV,5,1.34,0.00362648,,,,0.00362648,1.238561642
2,RV,6,1.34011,0.00266886,,,,0.00266886,0.9115030617
2,RV,7,1.34086,0.0030214,,,,0.0030214,1.031907013
2,RV,8,1.34014,0.00297925,,,,0.00297925,1.017511408
2,RV,9,1.34087,0.0032914,,,,0.0032914,1.124120852
2,RV,10,,,,,,,0
4,RV,1,1.34025,0.00278203,,,,0.00278203,0.9501543216
4,RV,2,1.34038,0.003355,,,,0.003355,1.145842334
4,RV,3,1.34009,0.00316696,,,,0.00316696,1.081620518
4,RV,4,1.33968,0.00275216,,,,0.00275216,0.9399527387
4,RV,5,1.33978,0.00392646,,,,0.00392646,1.341014632
4,RV,6,1.34053,0.00285222,,,,0.00285222,0.9741265044
